names	group
D10_E1_L1	D10.STB
D10_E1_L2	D10.STB
D10_E1_L3	D10.STB
D10_E1	D10.STB
D10_E1_S1	D10.CTB
D10_E1_S2	D10.CTB
D10_E1_S3	D10.CTB
D10_E1_S4	D10.CTB
D10_E1_S6	D10.CTB
D10_E1_S7	D10.CTB
D10_E1_S8	D10.CTB
D10_E2_L10	D10.STB
D10_E2_L11	D10.STB
D10_E2_L1	D10.STB
D10_E2_L2	D10.STB
D10_E2_L3	D10.STB
D10_E2_L4	D10.STB
D10_E2_L5	D10.STB
D10_E2_L6	D10.STB
D10_E2_L7	D10.STB
D10_E2_L8	D10.STB
D10_E2_L9	D10.STB
D10_E2_S1	D10.CTB
D10_E2_S2	D10.CTB
D10_E2_S3	D10.CTB
D10_E2_S4	D10.CTB
D10_E2_S5	D10.CTB
D10_E2_S6	D10.CTB
D10_E2_S7	D10.CTB
D10_E2_S8	D10.CTB
D10_E3_S1	D10.CTB
D10_E3_S2	D10.CTB
D10_E3_S3	D10.CTB
D10_E3_S4	D10.CTB
D10_E3_S5	D10.CTB
D10_E3_S6	D10.CTB
D10_E3_S7	D10.CTB
D10_E3_S8	D10.CTB
D10_E4_L1	D10.STB
D10_E4_L2	D10.STB
D10_E4_L3	D10.STB
D10_E4_L4	D10.STB
D10_E4_L5	D10.STB
D10_E4_L6	D10.STB
D10_E4_S1	D10.CTB
D10_E4_S2	D10.CTB
D10_E4_S3	D10.CTB
D10_E4_S4	D10.CTB
D12_E3_S10	D12.CTB
D12_E3_S11	D12.CTB
D12_E3_S12	D12.CTB
D12_E3_S13	D12.CTB
D12_E3_S14	D12.CTB
D12_E3_S15	D12.CTB
D12_E3_S16	D12.CTB
D12_E3_S17	D12.CTB
D12_E3_S18	D12.CTB
D12_E3_S19	D12.CTB
D12_E3_S1	D12.CTB
D12_E3_S20	D12.CTB
D12_E3_S21	D12.CTB
D12_E3_S22	D12.CTB
D12_E3_S23	D12.CTB
D12_E3_S24	D12.CTB
D12_E3_S2	D12.CTB
D12_E3_S3	D12.CTB
D12_E3_S4	D12.CTB
D12_E3_S5	D12.CTB
D12_E3_S6	D12.CTB
D12_E3_S7	D12.CTB
D12_E3_S8	D12.CTB
D12_E3_S9	D12.CTB
D12_E4_EVT10	D12.MTB
D12_E4_EVT11	D12.MTB
D12_E4_EVT12	D12.MTB
D12_E4_EVT13	D12.MTB
D12_E4_EVT1	D12.MTB
D12_E4_EVT2	D12.MTB
D12_E4_EVT3	D12.MTB
D12_E4_EVT4	D12.MTB
D12_E4_EVT5	D12.MTB
D12_E4_EVT6	D12.MTB
D12_E4_EVT7	D12.MTB
D12_E4_EVT8	D12.MTB
D12_E4_L1	D12.STB
D12_E4_L2	D12.STB
D12_E4_L3	D12.STB
D12_E4_L4	D12.STB
D12_E4_L5	D12.STB
D12_E4_L6	D12.STB
D12_E4_S1	D12.CTB
D12_E4_S2	D12.CTB
D12_E4_S3	D12.CTB
D12_E4_S4	D12.CTB
D12_E6_L1	D12.STB
D12_E6_L2	D12.STB
D12_E6_L3	D12.STB
D12_E6_L4	D12.STB
D12_E6_L5	D12.STB
D12_E6_L6	D12.STB
D12_E6_S1	D12.CTB
D12_E6_S2	D12.CTB
D12_E6_S3	D12.CTB
D12_E6_S4	D12.CTB
D12_EVT2	D12.MTB
D12_EVT3	D12.MTB
D12_EVT4	D12.MTB
D12_EVT5	D12.MTB
D8_E1_S1	D8.CTB
D8_E1_S2	D8.CTB
D8_E1_S3	D8.CTB
D8_E1_S4	D8.CTB
D8_E1_S5	D8.CTB
D8_E1_S6	D8.CTB
D8_E1_S7	D8.CTB
D8_E1_S8	D8.CTB
D8_E2_S1	D8.CTB
D8_E2_S2	D8.CTB
D8_E2_S3	D8.CTB
D8_E2_S4	D8.CTB
D8_E2_S5	D8.CTB
D8_E2_S6	D8.CTB
D8_E2_S7	D8.CTB
D8_E2_S8	D8.CTB
D8_E3_L1	D8.STB
D8_E3_L2	D8.STB
D8_E3_L3	D8.STB
D8_E3_L4	D8.STB
D8_E3_S1	D8.CTB
D8_E3_S2	D8.CTB
D8_E3_S3	D8.CTB
D8_E3_S4	D8.CTB
D8_E3_S5	D8.CTB
D8_E3_S6	D8.CTB
D8_E3_S7	D8.CTB
D8_E3_S8	D8.CTB
D8_E4_S1	D8.CTB
D8_E4_S2	D8.CTB
D8_E4_S3	D8.CTB
